Conventions,G,BADC-CSV,1
title,G,Annual mean global temperature change over land and ocean with CO2 concentration prescribed to increase at 1% per year as simulated by CMIP5 models,
creator,G,Anni Zhao (anni.zhao.16@ucl.ac.uk),
creator,G,Chris Brierley (c.brierley@ucl.ac.uk),
last_revised_date,G,2021/3/14,
acitivity,G,IPCC AR6,
feature_tpye,G,Global Mean Data Points,
comments,G,Data is for the limegreen  x  in Figure 3.2b in the IPCC Working Group 1 Contribution to the Six Assessment Report: Chapter 3,
comments,G,Annual mean global temperature change over sea and over land in the CMIP5 1pctCO2 experiment as compard to the piControl ,
comments,G,Applied modern land and ocean mask ,
rights,G,,
long_name,1,ann_tas_sea_1pctCO2_CMIP5_individual_models,degrees C
comments,1,Annual mean global temeprature change over sea CO2 concentration prescribed to increase at 1% per year as simulated by CMIP5 models,
type,1,float,
long_name,2,ann_tas_land_1pctCO2_CMIP5_individual_models,degrees C
comments,2,Annual mean global temeprature change over land CO2 concentration prescribed to increase at 1% per year as simulated by CMIP5 models,
type,2,float,
data,,,
1,2,,
3.19,4.87,,
3.75,5.54,,
3.6,5.15,,
3.23,4.85,,
2.8,4.14,,
3.59,4.91,,
3.89,5.29,,
2.56,4.08,,
3.86,6.55,,
3.76,5.7,,
3.9,6.01,,
3.53,5.81,,
3.05,4.43,,
end_data,,,
