Conventions,G,BADC-CSV,1
title,G,Ensemble mean of annual mean global temperature change over land and ocean at the Last Glacial Maximum (LGM) in the nonCMIP ,
creator,G,Anni Zhao (anni.zhao.16@ucl.ac.uk),
creator,G,Chris Brierley (c.brierley@ucl.ac.uk),
last_revised_date,G,2021/3/14,
acitivity,G,IPCC AR6,
feature_tpye,G,Global Mean Data Points,
comments,G,Data is for the blue unfilled plus in Figure 3.2b in the IPCC Working Group 1 Contribution to the Six Assessment Report: Chapter 3,
comments,G,Ensemble mean of annual mean global temperature change over sea and over land in the lgm experiment as compard to the piControl ,
comments,G,nonCMIP models have run the PMIP4 protocol but not included in the CMIP6,
comments,G,Applied LGM land and ocean mask ,
rights,G,,
long_name,1,ann_tas_sea_LGM_nonCMIP_ensemble_mean,degrees C
comments,1,Ensemble mean of annual mean global temeprature change over sea at the LGM in the nonCMIP,
type,1,float,
long_name,2,ann_tas_land_LGM_nonCMIP_ensemble_mean,degrees C
comments,2,Ensemble mean of annual mean global temeprature change over land at the LGM in the nonCMIP,
type,2,float,
data,,,
1,2,,
-3.808947,-6.900621714,,
end_data,,,
