DATA_REF_SYNTAX,SUB_EX_ID,ENS_MEMBER,TABLE_ID,VAR_NAME,GRID_LABEL,VERSION_NO,HANDLE,SUBPANEL
CMIP6.PMIP.AWI.AWI-ESM-1-1-LR.midHolocene,none,r1i1p1f1,Amon,pr,gn,20200212,hdl:21.14100/5426beeb-9b4b-4636-b388-38a564b71219,
CMIP6.CMIP.AWI.AWI-ESM-1-1-LR.piControl,none,r1i1p1f1,Amon,pr,gn,20200212,hdl:21.14100/6c04e256-82cb-44bc-b786-1300746dcbce,
CMIP6.PMIP.NCAR.CESM2.midHolocene,none,r1i1p1f1,Amon,pr,gn,20190923,hdl:21.14100/9d5b74f2-d8a7-4e9f-970d-5bed044fea02,
CMIP6.CMIP.NCAR.CESM2.piControl,none,r1i1p1f1,Amon,pr,gn,20190320,hdl:21.14100/5d921648-950e-4f30-a5a2-9b7559056784,
CMIP6.PMIP.EC-Earth-Consortium.EC-Earth3-LR.midHolocene,none,r1i1p1f1,Amon,pr,gr,20200409,hdl:21.14100/2fa27b1a-f96f-4b3b-849e-eeb91d478b2d,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3-LR.piControl,none,r1i1p1f1,Amon,pr,gr,20200409,hdl:21.14100/bad4d7df-2ceb-4973-b47c-7480b1f713ef,
CMIP6.PMIP.CAS.FGOALS-f3-L.midHolocene,none,r1i1p1f1,Amon,pr,gr,20191025,hdl:21.14100/017c112e-0722-452a-847c-2438e73c6159,
CMIP6.CMIP.CAS.FGOALS-f3-L.piControl,none,r1i1p1f1,Amon,pr,gr,20191029,hdl:21.14100/ad255c84-e4ea-4c82-bd78-0df86d18ad84,
CMIP6.PMIP.CAS.FGOALS-g3.midHolocene,none,r1i1p1f1,Amon,pr,gn,20191024,hdl:21.14100/1c7ff83c-acae-4138-b495-bbe2e92e1692,
CMIP6.CMIP.CAS.FGOALS-g3.piControl,none,r1i1p1f1,Amon,pr,gn,20190818,hdl:21.14100/598d2636-6c7c-46a5-a722-39b4d33f3d41,
CMIP6.PMIP.NASA-GISS.GISS-E2-1-G.midHolocene,none,r1i1p1f1,Amon,pr,gn,20190916,hdl:21.14100/d0054163-459f-40fa-b151-b7ffa007e734,
CMIP6.CMIP.NASA-GISS.GISS-E2-1-G.piControl,none,r1i1p1f1,Amon,pr,gn,20180824,hdl:21.14100/b4f821ca-3aba-4a8c-9bb5-c02f18ff5467,
CMIP6.CMIP.MOHC.HadGEM3-GC31-LL.piControl,none,r1i1p1f1,Amon,pr,gn,20190628,hdl:21.14100/c1cbbfda-b0a8-4bc5-9090-9d53cb2c0200,
CMIP6.PMIP.INM.INM-CM4-8.midHolocene,none,r1i1p1f1,Amon,pr,gr1,20190802,hdl:21.14100/021df18b-4f85-453d-8a88-5fd3e233369c,
CMIP6.CMIP.INM.INM-CM4-8.piControl,none,r1i1p1f1,Amon,pr,gr1,20190605,hdl:21.14100/8b640814-93b2-4db7-b47f-1975607afdae,
CMIP6.PMIP.IPSL.IPSL-CM6A-LR.midHolocene,none,r1i1p1f1,Amon,pr,gr,20180926,hdl:21.14100/87084de3-8822-47ac-abf9-b788fb840169,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.piControl,none,r1i1p1f1,Amon,pr,gr,20180802,hdl:21.14100/7d8d9f22-5c11-404e-892c-d981db3d9c3d,
CMIP6.PMIP.MIROC.MIROC-ES2L.midHolocene,none,r1i1p1f2,Amon,pr,gn,20191002,hdl:21.14100/8c0f2ed0-1298-4e78-a00b-43da5df013c1,
CMIP6.CMIP.MIROC.MIROC-ES2L.piControl,none,r1i1p1f2,Amon,pr,gn,20190823,hdl:21.14100/dabadc85-f140-4002-8cc3-996d2fb01a4d,
CMIP6.PMIP.MPI-M.MPI-ESM1-2-LR.midHolocene,none,r1i1p1f1,Amon,pr,gn,20190710,hdl:21.14100/1cf3a982-706c-439c-8c76-0bb2ed2bd334,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.piControl,none,r1i1p1f1,Amon,pr,gn,20190710,hdl:21.14100/cb635796-fd5f-4536-933d-6f426bfb6a14,
CMIP6.PMIP.MRI.MRI-ESM2-0.midHolocene,none,r1i1p1f1,Amon,pr,gn,20190919,hdl:21.14100/aa6a3ec7-81b0-4c45-9ac8-b92ba78807fc,
CMIP6.CMIP.MRI.MRI-ESM2-0.piControl,none,r1i1p1f1,Amon,pr,gn,20190222,hdl:21.14100/1a34e122-91c4-4c74-a248-62914ab7424c,
CMIP6.PMIP.NUIST.NESM3.midHolocene,none,r1i1p1f1,Amon,pr,gn,20190813,hdl:21.14100/2651a3ab-28ca-4468-9716-be2357176877,
CMIP6.CMIP.NUIST.NESM3.piControl,none,r1i1p1f1,Amon,pr,gn,20190708,hdl:21.14100/dfd10ab1-71c4-48db-9f6c-abfd5e9acd7d,
CMIP6.PMIP.NCC.NorESM1-F.midHolocene,none,r1i1p1f1,Amon,pr,gn,20190920,hdl:21.14100/0df954f5-18d0-4880-8fd8-cb3e265ccd72,
CMIP6.CMIP.NCC.NorESM1-F.piControl,none,r1i1p1f1,Amon,pr,gn,20190920,hdl:21.14100/07bd4a06-042e-4f16-8e75-7b1c81a1b1af,
CMIP6.PMIP.NCC.NorESM2-LM.midHolocene,none,r1i1p1f1,Amon,pr,gn,20191108,hdl:21.14100/76fdcab2-e855-49ff-97cb-edf9b7d0010f,
CMIP6.CMIP.NCC.NorESM2-LM.piControl,none,r1i1p1f1,Amon,pr,gn,20210118,hdl:21.14100/720e8a4c-18ef-4a49-a1eb-3adbfd1dc4a2,
