cmip5.output1.BCC.bcc-csm1-1.midHolocene,mon,atmos,Amon,r1i1p1,v1,pr,_bcc-csm1-1_midHolocene_r1i1p1_000101-010012.nc
cmip5.output1.BCC.bcc-csm1-1-m.piControl,mon,atmos,Amon,r1i1p1,v20120705,pr,_bcc-csm1-1-m_piControl_r1i1p1_000101-040012.nc
cmip5.output1.BNU.BNU-ESM.piControl,mon,atmos,Amon,r1i1p1,v20120626,pr,_BNU-ESM_piControl_r1i1p1_145001-200812.nc
cmip5.output1.CCCma.CanESM2.piControl,mon,atmos,Amon,r1i1p1,v20120412,pr,_CanESM2_piControl_r1i1p1_201501-231012.nc
cmip5.output1.CCCma.CanESM2.piControl,mon,atmos,Amon,r1i1p1,v20120412,pr,_CanESM2_piControl_r1i1p1_231101-241012.nc
cmip5.output1.CCCma.CanESM2.piControl,mon,atmos,Amon,r1i1p1,v20120412,pr,_CanESM2_piControl_r1i1p1_241101-251012.nc
cmip5.output1.CCCma.CanESM2.piControl,mon,atmos,Amon,r1i1p1,v20120412,pr,_CanESM2_piControl_r1i1p1_251101-261012.nc
cmip5.output1.CCCma.CanESM2.piControl,mon,atmos,Amon,r1i1p1,v20120412,pr,_CanESM2_piControl_r1i1p1_261101-271012.nc
cmip5.output1.CCCma.CanESM2.piControl,mon,atmos,Amon,r1i1p1,v20120412,pr,_CanESM2_piControl_r1i1p1_271101-281012.nc
cmip5.output1.CCCma.CanESM2.piControl,mon,atmos,Amon,r1i1p1,v20120412,pr,_CanESM2_piControl_r1i1p1_281101-291012.nc
cmip5.output1.CCCma.CanESM2.piControl,mon,atmos,Amon,r1i1p1,v20120412,pr,_CanESM2_piControl_r1i1p1_291101-301012.nc
cmip5.output1.CCCma.CanESM2.piControl,mon,atmos,Amon,r1i1p1,v20120623,pr,_CanESM2_piControl_r1i1p1_201501-231012.nc
cmip5.output1.CCCma.CanESM2.piControl,mon,atmos,Amon,r1i1p1,v20120623,pr,_CanESM2_piControl_r1i1p1_231101-241012.nc
cmip5.output1.CCCma.CanESM2.piControl,mon,atmos,Amon,r1i1p1,v20120623,pr,_CanESM2_piControl_r1i1p1_241101-251012.nc
cmip5.output1.CCCma.CanESM2.piControl,mon,atmos,Amon,r1i1p1,v20120623,pr,_CanESM2_piControl_r1i1p1_251101-261012.nc
cmip5.output1.CCCma.CanESM2.piControl,mon,atmos,Amon,r1i1p1,v20120623,pr,_CanESM2_piControl_r1i1p1_261101-271012.nc
cmip5.output1.CCCma.CanESM2.piControl,mon,atmos,Amon,r1i1p1,v20120623,pr,_CanESM2_piControl_r1i1p1_271101-281012.nc
cmip5.output1.CCCma.CanESM2.piControl,mon,atmos,Amon,r1i1p1,v20120623,pr,_CanESM2_piControl_r1i1p1_281101-291012.nc
cmip5.output1.CCCma.CanESM2.piControl,mon,atmos,Amon,r1i1p1,v20120623,pr,_CanESM2_piControl_r1i1p1_291101-301012.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_432401-432912.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20121023,pr,_CMCC-CESM_piControl_r1i1p1_433001-433512.nc
